Recipe,URL,Ingredients,Type
Michela’s tuna with cannellini beans (no cook),http://www.jamieoliver.com/recipes/fish-recipes/michela-s-tuna-with-cannellini-beans-no-cook/,    tin of cannellini beans    tin of tuna in spring water no added salt  lemon sprigs of fresh basil,Meat dishes
Haddock with cannellini beans & artichokes,https://www.bbcgoodfood.com/recipes/haddock-cannelloni-beans-artichokes," can cannellini beans , drained and rinsed small lemon , zested and juicedsmall garlic clove , grated tbsp roughly chopped parsley tbsp olive oil skinless haddock fillet artichokes from  can, drained and halved",Meat dishes
"Grilled Bruschetta - Cannellini Beans with Feta, Arugula, and Orange",https://food52.com/recipes/10069-grilled-bruschetta-cannellini-beans-with-feta-arugula-and-orange, loaf bread  oz. can cannellini beans ounces feta cheeseParsleySaltPepperOlive oil oranges bunch arugula,Meat dishes
Escarole with Cannellini Beans,https://www.epicurious.com/recipes/food/views/escarole-with-cannellini-beans," sweet onion, halved head of garlic, halved crosswise medium carrot, scrubbed sprigs parsley -inch sprigs rosemary sprigs sage cups dried cannellini beans, soaked overnight, drained teaspoon freshly cracked black pepper tablespoons olive oil, divided garlic cloves, thinly sliced bay leaves tablespoon chopped parsley teaspoon crushed red pepper flakes head of escarole, leaves torn ounce finely grated Parmesan",Meat dishes
Broccoli Rabe with Cannellini Beans,http://www.eatingwell.com/recipe/255758/broccoli-rabe-with-cannellini-beans/," bunch broccoli rabe - pounds, trimmed and coarsely chopped tablespoons extra-virgin olive oil cloves garlic, minced teaspoon anchovy paste or  minced anchovy fillet teaspoon crushed red pepper  ounce can cannellini beans, rinsed tablespoon lemon juice",Meat dishes
Crispy Breaded Shrimp With Cannellini Beans,https://www.realsimple.com/food-recipes/browse-all-recipes/crispy-breaded-shrimp-garlicky-beans," cup bread crumbs tablespoons chopped fresh rosemary tablespoons olive oilkosher salt and black pepper pound peeled and deveined medium shrimp clove garlic, chopped -ounce can cannellini beans, rinsed bunches arugula, thick stems removed about  cups",Salads
Pot-Roasted Lamb Shanks With Cannellini Beans,http://www.foodandwine.com/recipes/pot-roasted-lamb-shanks-with-cannellini-beans,"  cups dried cannellini beans, soaked overnight and drained bay leaf meaty lamb shanksSalt and freshly ground black pepper large garlic cloves, unpeeled cups chicken stock teaspoon sherry vinegar teaspoon chopped thyme",Meat dishes
Swiss Chard and Cannellini Beans,https://www.closetcooking.com/swiss-chard-and-cannellini-beans/, tablespoon olive oil pinch red pepper flakes small onion chopped clove garlic chopped bunch Swiss chard chopped tomato chopped  ounce can cannellini beans drained and rinsedsalt and pepper to taste,Meat dishes
Smoky Cannellini Beans & Red Kale Soup,http://www.injennieskitchen.com/2010/04/smoky-cannellini-bean-red-kale-soup.html," inch thick sliced pancetta, diced ounces medium onion, diced tsp vegetable bouillon cup tightly packed sliced red kale, ribs removed cup boiling water, plus more as needed  -inch by -inch Parmesan cheese rindFreshly ground pepper to taste  cup cooked cannellini beans white kidney beans inch Eight thick slices of stale country bread or baguette",Meat dishes
Cannellini Beans with Herbs and Prosciutto,https://www.foodnetwork.com/recipes/giada-de-laurentiis/cannellini-beans-with-herbs-and-prosciutto-recipe-1943121," tablespoons olive oil tablespoon minced garlic tablespoon chopped fresh sage leaves teaspoon chopped fresh thyme leaves  -ounce can diced tomatoes with juices -ounce cans cannellini beans, rinsed, drained ounces prosciutto, coarsely choppedSalt and freshly ground black pepper cups arugula or mixed baby greens",Meat dishes
